id,price
15208,1919017.934339698
15209,309984.80575784313
15210,922969.9494767643
15211,222859.92241694144
15212,454426.8354670291
15213,353885.20564487216
15214,445139.953206485
15215,668510.0005631425
15216,588899.8123353048
15217,571504.6256932428
15218,239030.65950322035
15219,408019.49305270077
15220,249644.7156445487
15221,629411.4988648897
15222,714397.6298481673
15223,325123.9492250452
15224,430761.18734559935
15225,277437.30782642204
15226,443752.8011398397
15227,504940.97864651243
15228,399551.3665192691
15229,310757.1802211403
15230,231767.18844475874
15231,1560942.714179996
15232,441600.31530115305
15233,567371.1307473046
15234,290026.58107919607
15235,948516.8499534214
15236,355968.9343859935
15237,314579.96634903306
15238,231601.1252271703
15239,501753.91851476755
15240,501753.91851476755
15241,580664.3377953401
15242,434976.856244731
15243,440022.6180272876
15244,680276.3351331807
15245,289477.64819564484
15246,873070.9137017522
15247,797482.780286639
15248,393929.0979795081
15249,213775.86814672465
15250,1020178.1513713922
15251,648034.8782176541
15252,242565.89268416402
15253,706744.8722215015
15254,474701.1427744668
15255,992036.364738688
15256,423078.77288208884
15257,240211.00770825593
15258,807615.1946907603
15259,377107.99729701196
15260,922866.03625579
15261,514054.6427898476
15262,691427.1332086242
15263,460401.3119844742
15264,285004.97337800043
15265,1167776.3203007923
15266,304709.72424540773
15267,276546.6904396998
15268,414504.59241857904
15269,555463.4764387656
15270,856304.3301986584
15271,1410723.5928247594
15272,470565.9831898198
15273,567956.8186599303
15274,428355.33191281965
15275,305435.22641285334
15276,395512.99243804725
15277,274389.2027552433
15278,248971.23370574345
15279,235826.080625521
15280,314736.78865117
15281,254565.00410542544
15282,450785.27481563005
15283,398266.2822136609
15284,409711.49366019777
15285,469504.8238936789
15286,439628.8134971364
15287,263488.50108245324
15288,292049.91145327647
15289,364851.72713713266
15290,278698.0105621693
15291,422442.73336815875
15292,727008.4886925935
15293,242765.48263900643
15294,297124.14173318894
15295,328305.63695925917
15296,1878938.4182235925
15297,400991.34048066754
15298,385793.26317347214
15299,443126.77005432104
15300,409764.56359892705
15301,1025863.2565789935
15302,700992.2359197504
15303,675821.8175981196
15304,2002971.4135889958
15305,384701.1529687758
15306,507732.8940996801
15307,613694.2274096695
15308,329927.3793937921
15309,753334.4607165725
15310,238220.66025670565
15311,274073.06802249997
15312,274073.06802249997
15313,944887.3799115911
15314,332572.3610822753
15315,562836.3640015582
15316,700466.4918680048
15317,648024.1244231674
15318,227900.1098027698
15319,513330.757846703
15320,625338.9153732407
15321,254075.06676565102
15322,706291.1729860991
15323,415015.5523138002
15324,300976.93693970586
15325,767728.6114899684
15326,338239.3403678443
15327,548607.1806642779
15328,579887.2193394263
15329,579887.2193394263
15330,483006.0461095221
